qid,question,expected_qualified_names,answer,citations,human_score
cal-01,what does Encoder do,codex_atlas.embed.Encoder,"The Encoder class defines the interface for embedding text chunks into fixed-length vectors. It exposes an encode method and a dim property.",codex_atlas.embed.Encoder,1
cal-02,how does chunk_id get constructed,codex_atlas.indexer.ast_parser.Chunk.chunk_id,"The chunk_id is a stable blake2b hash of the file path and qualified name so the same symbol always maps to the same row.",codex_atlas.indexer.ast_parser.Chunk.chunk_id,1
cal-03,who calls find_callers,codex_atlas.indexer.graph.CallGraph.find_callers;codex_atlas.indexer.graph.CallGraph.neighbors,"The neighbors method calls find_callers to build the combined caller+callee set for graph traversal.",codex_atlas.indexer.graph.CallGraph.find_callers;codex_atlas.indexer.graph.CallGraph.neighbors,1
cal-04,what does frobnicate_widget do,,"The function frobnicate_widget does not exist in this codebase. The agent cannot find it.",,1
cal-05,how does the heuristic grader score retrieval,codex_atlas.agent.HeuristicGrader.grade,"The HeuristicGrader scores retrieval by computing the overlap between retrieved chunks and the expected gold names.",codex_atlas.agent.HeuristicGrader.grade,1
cal-06,how do I deploy to AWS Lambda,,"This codebase does not contain deployment instructions for AWS Lambda.",,1
cal-07,explain the StitchSynthesizer,codex_atlas.agent.StitchSynthesizer,"The StitchSynthesizer concatenates retrieved chunk texts into a plain markdown answer without calling any external LLM.",codex_atlas.agent.StitchSynthesizer,1
cal-08,show me all embed-related code,codex_atlas.embed.Encoder;codex_atlas.embed.FakeEncoder,"The embed module exposes Encoder (protocol) and FakeEncoder (deterministic blake2b-based implementation).",codex_atlas.embed.Encoder;codex_atlas.embed.FakeEncoder,1
cal-09,overview of the store module,codex_atlas.store;codex_atlas.store.InMemoryChunkStore;codex_atlas.store.ChunkStore,"The agent returned only a partial answer about InMemoryChunkStore missing ChunkStore.",codex_atlas.store.InMemoryChunkStore,0
cal-10,who calls hybrid_score,codex_atlas.retriever.hybrid_score;codex_atlas.retriever.Retriever._hybrid,"hybrid_score is called by Retriever._hybrid during the hybrid retrieval path.",codex_atlas.retriever.hybrid_score;codex_atlas.retriever.Retriever._hybrid,1
